Username,Unique_code,Title
testmoderator,PKDKAR09226,"EM KAVALI"
testmoderator,PKDKAR02451,"MIRU ISHWARYA RAI KADHA"
testmoderator,PKDKAR07619,BANGAARAM
testmoderator,PKDKAR07619,BANGAARAM
testmoderator,PKDKAR08425,DANDHA
testmoderator,PKDKAR01159,COFFEE
testmoderator,PKDKAR03076,ESTAM
testmoderator,PKDKAL00370,OK
testmoderator,PKDKAL00389,"THOOKI ADICHIDUM"
testmoderator,PKDKAR07946,PARTY
testmoderator,PKDKAR07591,"BIRTHDAY PARTY"
testmoderator,PKDKAR03744,PARTY
testmoderator,PKDKAR05814,party
testmoderator,PKDKAR05814,party
testmoderator,PKDKAR06623,"DESCIPLANE "
testmoderator,PKDKAR03323,FAMILY
testmoderator,PKDNAN0154950,"UNIQUE CASE"
testmoderator,PKDKAR08222,VAYASU
testmoderator,PKDREH02309,"DEKHNE DEY"
testmoderator,PKDKAR03361,"INDIA ONTARI"
testmoderator,PKDKAR08372,ASHA
testmoderator,PKDKAR03513,ALUMUDRA
testmoderator,PKDKAR03512,FEEL
testmoderator,PKDKAR03511,SIGGU
testmoderator,PKDKAR03356,"MOOGA PEDHA"
testmoderator,PKDKAR01687,"NA EDAMA KANNU ADIRI NAPPUDEY"
testmoderator,PKDREH00148,THPPAD
testmoderator,PKDREH00148,THPPAD
testmoderator,PKDNAN0151806,"NJAN IDA PETTU"
testmoderator,PKDNAN0151806,"NJAN IDA PETTU"
testmoderator,PKDKAR00353,"KATHALUNDAI BAI"
testmoderator,PKDKAR08905,CLEAR
testmoderator,PKDKAR01832,"VADI CHEVITODU ANI"
testmoderator,PKDNAN0151371,PARIPADI
testmoderator,PKDKAR07550,ARAVATAM
testmoderator,PKDKAR08609,NUV
testmoderator,PKDKAR08609,NUV
testmoderator,PKDKAR01758,"MAHESH BABU FAN"
testmoderator,PKDKAR08372,ASHA
testmoderator,PKDKAR08372,ASHA
testmoderator,PKDKAR08372,ASHA
testmoderator,PKDREH03063,"HEY BHAGWAN"
testmoderator,PKDKAR06805,MOODUMULLU
testmoderator,PKDKAR08826,PEEKEDEMUNDI
testmoderator,PKDKAR06805,MOODUMULLU
testmoderator,PKDNAN0152007,"ATHALLE SPORTSMAN SPIRIT"
testmoderator,PKDKAR06560,WORLD
testmoderator,PKDKAL00104,"ALAGU POGUM"
testmoderator,PKDKAR03441,ACCIDENT
testmoderator,PKDREH00440,"KISI K BARBADI PAR AISE "
testmoderator,PKDKAR04422,DAGGARAVUTHUNTE
testmoderator,PKDKAR01491,"ANAVASANRANGA TWO YEARS WASTE CHESUKUNNA"
testmoderator,PKDKAR10109,"NAA PERU DAYAA"
testmoderator,PKDKAR10109,"NAA PERU DAYAA"
testmoderator,PKDKAR09430,NIJAM
testmoderator,PKDKAR03285,"ANDHAMAINA PRAPANCHAM"
testmoderator,PKDKAR03794,ALANTI
testmoderator,PKDKAR04600,SCEMULU
testmoderator,PKDKAR08844,WICKET
testmoderator,PKDKAR05795,NAMODHAYAM
testmoderator,PKDKAR03285,"ANDHAMAINA PRAPANCHAM"
testmoderator,PKDKAR05721,JEEVITHAM
testmoderator,PKDKAR01783,"MI AYYA"
testmoderator,PKDKAR09993,SARLE
testmoderator,PKDKAL00297,"AVULO PRECHANA"
testmoderator,PKDKAL00126,"INDHA ULAGAM"
testmoderator,PKDKAL00126,"INDHA ULAGAM"
testmoderator,PKDKAR01214,"PUTTINA VANIKI"
testmoderator,PKDKAR04960,KATTADAM
testmoderator,PKDKAR03807,"OKA APPUDU"
testmoderator,PKDKAR03391,"BUJJI BUJJI"
testmoderator,PKDKAR01672,"OORLO VALLA GODAVALU NIKU ANDUKU RA"
testmoderator,PKDKAR01672,"OORLO VALLA GODAVALU NIKU ANDUKU RA"
testmoderator,PKDREH01268,"USAY JALSA JAL TEHK KARDANA"
testmoderator,PKDKAR08425,DANDHA
testmoderator,PKDKAR08424,"KUKKA CHAVU"
testmoderator,PKDKAR08421,ROMANCE
testmoderator,PKDKAR08415,BASIC
testmoderator,PKDKAR08412,NERASTHUDU
testmoderator,PKDKAR08408,EVEREST
testmoderator,PKDKAR08404,THINDI
testmoderator,PKDKAR08402,DISCIPLINE
testmoderator,PKDKAR08432,BOCCHU
testmoderator,PKDKAR07474,NUVVU
testmoderator,PKDKAR07411,EDU
testmoderator,PKDKAR03611,MANSHULU
testmoderator,PKDKAR06819,ENGLISH
testmoderator,PKDKAR00260,"NAKU OKA FIGURE  PADINDHI"
testmoderator,PKDKAR06814,"I AM YOUTH"
testmoderator,PKDKAR06813,"MR,PRINCIPAL"
testmoderator,PKDKAR06812,"WE MEET LATER"
testmoderator,PKDKAR06811,"PRINCIPAL SHOUTING"
testmoderator,PKDKAR06808,"SHAKE SHAKE MAN"
testmoderator,PKDKAR06806,NENOCHCHESA
testmoderator,PKDKAR06799,PRASAADAM
testmoderator,PKDKAR06788,"THAMMUDU "
testmoderator,PKDKAR06785,"PAIKELLI PADUKO"
testmoderator,PKDKAR06783,"KAAKI GONTHU"
testmoderator,PKDKAR06776,"NAKU BOY FRIEND"
testmoderator,PKDKAR06774,"CHUPULUTHO REPULEEDU"
testmoderator,PKDKAR06768,"HAND ECHCHAVE"
testmoderator,PKDKAR06723,ABBABBABBAAA
testmoderator,PKDKAR06720,MASAGE
testmoderator,PKDKAR06710,"I AM A GANGSTER"
testmoderator,PKDKAR06709,"REY FLASSHBAGLODDU"
testmoderator,PKDKAR06780,"PILLALU SAADANA MODALU PEDADAAMA"
testmoderator,PKDKAR01621,"CHI MARI INTHA FOOL"
testmoderator,PKDKAR06679,BANGARAMLANTI
testmoderator,PKDKAR01682,"IDLY ELA UNDI"
testmoderator,PKDKAR03918,"EDI ADO WONDER LA UNDI"
testmoderator,PKDKAR06798,DEVUDAKKADA
testmoderator,PKDKAR09261,THIKKA
testmoderator,PKDKAR06122,"VEEDIKI PANI PAATA LEDU"
testmoderator,PKDKAR01021,VEDHAVANI
testmoderator,PKDKAR02151,"MARCH POTHE APRIL"
testmoderator,PKDKAR01417,"ALLUDU AVDHAMANI"
testmoderator,PKDKAR02694,UNDAGALAVA
testmoderator,PKDKAR09496,YENTEE
testmoderator,PKDKAR09496,YENTEE
testmoderator,PKDKAR03925,GOVERAVAM
testmoderator,PKDKAR01111,"INTHA MOSAM CHESTHAVA"
testmoderator,PKDKAR01097,"NANNEVARU THITTALE"
testmoderator,PKDKAR01086,"NIJANGANE FEELING CHEPPANU"
testmoderator,PKDKAR01081,CHEPPESTHA
testmoderator,PKDKAR01081,CHEPPESTHA
testmoderator,PKDKAR01081,CHEPPESTHA
testmoderator,PKDKAR01081,CHEPPESTHA
testmoderator,PKDKAR01077,"MUY NORE MUY"
testmoderator,PKDKAR01076,"EMAINA TELUSA NIKU"
testmoderator,PKDKAR01063,"HAI ELA UNNARU"
testmoderator,PKDKAR01064,"HEY DONT EAT "
testmoderator,PKDKAR01064,"HEY DONT EAT "
testmoderator,PKDKAR01058,"CONTROL CHESI PETTU"
testmoderator,PKDKAR01055,"NAKU ISTAM LEDHU"
testmoderator,PKDKAR01053,"BAYATA PARA DHIBBUTHA"
testmoderator,PKDKAR01083,"KUKKALA ARUSTHARU VENDUKU"
testmoderator,PKDKAR04876,"OKKAROJU AAGITHE"
testmoderator,PKDKAR02577,SOX
testmoderator,PKDKAR02574,KANCHAM
testmoderator,PKDKAR02571,INKOKKA
testmoderator,PKDKAR02570,HARMONY
testmoderator,PKDKAR02567,EMOSTHADI
testmoderator,PKDKAR02566,EDAVA
testmoderator,PKDKAR02562,ERA
testmoderator,PKDKAR02560,ENADU
testmoderator,PKDKAR02559,ILANTI
testmoderator,PKDKAR02558,ILA
testmoderator,PKDKAR02556,KEVALAM
testmoderator,PKDKAR02554,ILLU
testmoderator,PKDKAR02553,EE
testmoderator,PKDKAR02552,DIMMA
testmoderator,PKDKAR02549,"CORRECT GA"
testmoderator,PKDKAR02547,CHUSTHUNNA
testmoderator,PKDKAR02545,ARACHETHINI
testmoderator,PKDKAR02544,CHETTANTHA
testmoderator,PKDKAR02541,ANDARU
testmoderator,PKDKAR02540,BOTHHIGA
testmoderator,PKDKAR02535,BEARTH
testmoderator,PKDKAR02530,EVADU
testmoderator,PKDKAR02523,ENTI
testmoderator,PKDKAR02519,ENTA
testmoderator,PKDKAR02511,ALOCHISTHUNTANU
testmoderator,PKDKAR02510,ALA
testmoderator,PKDKAR02508,ADI
testmoderator,PKDKAR02504,ABBOO
testmoderator,PKDKAR02502,ICHHAV
testmoderator,PKDKAR02501,HISTORY
testmoderator,PKDKAR02657,EXPOSINGAA
testmoderator,PKDKAR02627,PALLU
testmoderator,PKDKAR02640,"2ND SHOW"
testmoderator,PKDKAR07613,"MURSI POTUNDHI"
testmoderator,PKDKAR09712,BANTHI
testmoderator,PKDKAR09711,PRANAM
testmoderator,PKDKAR09710,"INDIA "
testmoderator,PKDKAR09795,ANNATU
testmoderator,PKDKAR01584,"MARIDHI GAARU"
testmoderator,PKDKAR07788,OPENGA
testmoderator,PKDKAR07949,REACTION
testmoderator,PKDKAR01701,"AKKADA EDAVA VEYSHALU"
testmoderator,PKDKAR06702,"SENIARITY VERUSINCERITY VERU KADA"
testmoderator,PKDKAR03370,"KODUKU TORTURE"
testmoderator,PKDKAR01864,"NI CREATION LO CHALA"
testmoderator,PKDKAR01939,"DOCTORLA DAGGARA ROWDY LA DAGGARA"
testmoderator,PKDKAR01881,"MIKU E NIJAM CHEPINDHI"
testmoderator,PKDKAR01873,"NA CARRER LO"
testmoderator,PKDKAR01843,"OKA OKA SARI"
testmoderator,PKDKAR01012,"NALA GOPPODU AVTHADU"
testmoderator,PKDKAR01709,"DOGGALU ANTEY MANUCHULU LAGANEY UNTARA ANDI"
testmoderator,PKDKAR02713,"CHIRIGEDI AKE"
testmoderator,PKDKAR01214,"PUTTINA VANIKI"
testmoderator,PKDKAR03494,"MALLI MALLI"
testmoderator,PKDKAR03200,"JUST KIDDING RA"
testmoderator,PKDKAR03182,"CHILLRA PANULU"
testmoderator,PKDKAR01632,"TELIDHA EDEY COLLEGE"
testmoderator,PKDKAR06248,CONNECT
testmoderator,PKDKAR06630,"NEKU DEPOSITE KUDA MIGALADU"
testmoderator,PKDKAR01494,"EE AMMAIK I NIKU LOVE EPUDU MODHALINDHI"
testmoderator,PKDKAR09993,SARLE
testmoderator,PKDKAR02137,"NAMMAKA POVADANIKI"
testmoderator,PKDKAR07912,PUNUGULU
testmoderator,PKDREH01371,"TUM THO BUS BUDU KAY BUDU RAHO GEY"
testmoderator,PKDKAR09907,ENDUKU
testmoderator,PKDREH04455,"ACHA BACHA AANSU POOCHO"
testmoderator,PKDREH04455,"ACHA BACHA AANSU POOCHO"
testmoderator,PKDREH04543,"O POSITIVE"
testmoderator,PKDREH04543,"O POSITIVE"
testmoderator,PKDREH00424,"AAPKO KYA LAGTA HAI"
testmoderator,PKDREH00424,"AAPKO KYA LAGTA HAI"
testmoderator,PKDKAR06431,DUKANAM
testmoderator,PKDKAR04774,CONFUSED
testmoderator,PKDKAR08552,OK
testmoderator,PKDKAR05995,"WHAT NONE SENSE"
testmoderator,PKDNAN0151387,"VELLAM VARUNNU"
testmoderator,PKDKAR07090,SHAKUNI
testmoderator,PKDKAR06197,"RAASIPTTI VUNTE"
testmoderator,PKDKAR01561,"BUDDEY SALEY"
testmoderator,PKDVAM19362,"MAJAAK THO NAI KARENA"
testmoderator,PKDKAR02313,"HAPPY BIRTH DAY"
testmoderator,PKDKAR02585,MANCHI
testmoderator,PKDKAR07785,SHARE
testmoderator,PKDKAR04000,"SHALL I TRY MY LOVE"
testmoderator,PKDKAR08727,"NEN "
testmoderator,PKDKAR09846,UNDU
testmoderator,PKDKAR04806,SAPATHAM
testmoderator,PKDKAR03958,1
testmoderator,PKDKAR01775,"LEPUKU POTEY APPUDU EM CHESTHAV"
testmoderator,PKDKAR03463,"TELUGU BHASA"
testmoderator,PKDNAN0151841,"AMMEDA CHEVITTU"
testmoderator,PKDKAR06941,MAGADI
testmoderator,PKDKAR03766,FROG
testmoderator,PKDKAR02629,SOUP
testmoderator,PKDKAR08717,LAKSHMI
testmoderator,PKDNAN0151012,KARUMBANANELUM
