"User Name",Unique_code,Title
Ashok,PKDKAR7510,MEERU
Ashok,PKDKAR00678,"VELLADAM MELU"
Praveen,PKDKAR00399,"ALREADY PREMINCHUKUNAPUDU"
Praveen,PKDKAR00740,"EDHI EASY KADHU"
Praveen,PKDKAR01114,"LOVE LETTER ICHESTAVA"
Praveen,PKDKAR7539,PANIKI
Praveen,PKDKAR7538,VANDA
Praveen,PKDKAR7542,MAMULAGANE
Praveen,PKDKAR01116,PELLICHESUKOVATANIKI
Praveen,PKDKAR00678,"VELLADAM MELU"
Ashok,PKDKAR00733,"ENTI JOKE HA"
Ashok,PKDKAR00745,"BALE INTILEGENT"
Ashok,PKDKAR7538,VANDA
Ashok,PKDKAR7507,"FIRST LADY"
Sailesh,PKDKAR00655,"EVARIKI RAKUDADHU"
Ashok,PKDKAR00617,"DONT IRITATE ME"
Ashok,PKDKAR00659,"TENSION PADDANU"
Ashok,PKDKAR7542,MAMULAGANE
Praveen,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Praveen,PKDKAR00491,"ENTRA VADI QUALIFICAION RA"
Praveen,PKDKAR00657,BRATHAKANIVVANU
Efff,PKDKAR01068,"KISE BATH KARO THUM"
Efff,PKDKAR01066,"I LIKE YOU NIKU"
Efff,PKDKAR01064,"HEY DONT EAT"
reddy,PKDKAR00740,"EDHI EASY KADHU"
reddy,PKDKAR00655,"EVARIKI RAKUDADHU"
Tejesh,PKDKAR00655,"EVARIKI RAKUDADHU"
Sunny,PKDKAR00745,"BALE INTILEGENT"
Sunny,PKDKAR00655,"EVARIKI RAKUDADHU"
Ravi,PKDKAR00416,"NUVVU AMMA VE AMMAI VEM KADHU"
Ravi,PKDKAR00430,EDUPOSTHUNDHI
Ravi,PKDKAR00412,"OKEARI AGIPOTHUNDHI"
Ravi,PKDKAR00408,"PREMA PUTTADANIKI OKK KSHANAMCHALU"
Ravi,PKDKAR00402,"KASTALLO THODUNDEDHI"
Ravi,PKDKAR00376,"NENU NINNU CHUDALI"
Ravi,PKDKAR00335,"MANASUNTUNDHI KADHU MATHAM UNDADHI"
Ravi,PKDKAR01109,"TREAT ME A GIRL FRIEND"
Ravi,PKDKAR01103,"JANANIKI ALAVATAI POVALI"
Ravi,PKDKAR01087,"NIKANTE MONDDODODINI"
Ravi,PKDKAR7544,"AA YENTI"
Ravi,PKDKAR7546,"ERA VINIPINCHINDA"
Ravi,PKDKAR7540,"A POTTODU"
Ravi,PKDKAR7547,NEXT
Ravi,PKDKAR7531,"NANNA A AMMAI"
Ravi,PKDKAR00677,"RENDU KALLU CHALAV"
Ravi,PKDKAR00745,"BALE INTILEGENT"
Ravi,PKDKAR00733,"ENTI JOKE HA"
Ravi,PKDKAR00658,"GOPPA MANASU RA NADHI"
Praveen,PKDKAR00667,"ANDHARU KALISI"
Praveen,PKDKAR00326,"ENTHA ANDHANGA UNNAV TELUSA"
Praveen,PKDKAR00659,"TENSION PADDANU"
Praveen,PKDVAM050238,RELAX…RELAX…RELAX
Praveen,PKDKAR10071,"ANDHRA PRADESH"
Praveen,PKDKAR00447,EVANDI
Praveen,PKDKAR10045,JANMALU
Praveen,PKDKAR10031,CITY
Praveen,PKDKAR10099,"DAASOHAM AYYANU"
Praveen,PKDKAR01080,"CHALA BHDHAGA UNHDI"
Praveen,PKDKAR01082,"NENE MIKU BOSS"
Praveen,PKDKAR00658,"GOPPA MANASU RA NADHI"
Praveen,PKDKAR00733,"ENTI JOKE HA"
Praveen,PKDKAR00655,"EVARIKI RAKUDADHU"
Praveen,PKDKAR00401,"OKATI THISUKUNTE INKOTI ISTHADU"
sudhakar,PKDKAR00491,"ENTRA VADI QUALIFICAION RA"
Manideep,PKDKAR00733,"ENTI JOKE HA"
Manideep,PKDKAR00740,"EDHI EASY KADHU"
Manideep,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Sai,PKDKAR00659,"TENSION PADDANU"
Sivakiran,PKDKAR00677,"RENDU KALLU CHALAV"
Sivakiran,PKDKAR00656,CHUPISTHARA
SR,PKDKAR00655,"EVARIKI RAKUDADHU"
Pallavi,PKDKAR00740,"EDHI EASY KADHU"
Pallavi,PKDKAR01090,"PAITING HABBY NA"
Pallavi,PKDKAR01120,"AREY CHINNADHANA NIKOSAM"
Pallavi,PKDKAR00745,"BALE INTILEGENT"
Pallavi,PKDKAR00413,"BRATHAKADAM PARUGETHADAM OKKATE"
Pallavi,PKDKAR00377,"ADHI GELUPU VARAKI THISUKELTHUNDHI"
Pallavi,PKDKAR7547,NEXT
Pallavi,PKDKAR7546,"ERA VINIPINCHINDA"
Pallavi,PKDKAR7535,NINNU
Pallavi,PKDKAR7543,"REY RAVI"
Pallavi,PKDKAR7531,"NANNA A AMMAI"
Pallavi,PKDKAR7544,"AA YENTI"
Pallavi,PKDKAR7541,SAMSKARAM
Pallavi,PKDKAR7540,"A POTTODU"
Pallavi,PKDKAR00733,"ENTI JOKE HA"
Pallavi,PKDKAR00658,"GOPPA MANASU RA NADHI"
reddy,PKDKAR00655,"EVARIKI RAKUDADHU"
kk,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
SaiAvinash,PKDKAR00677,"RENDU KALLU CHALAV"
SaiAvinash,PKDKAR00734,"ENTHA KAVALO CHEPPU"
SaiAvinash,PKDKAR00657,BRATHAKANIVVANU
Akularamprasadya,PKDKAR00656,CHUPISTHARA
Akularamprasadya,PKDKAR00655,"EVARIKI RAKUDADHU"
Hemanth,PKDKAR00739,"GOLD COVER VESUKONI THIRUGUTHUNNARU"
Hemanth,PKDKAR00745,"BALE INTILEGENT"
"Raviteja KVS",PKDKAR00740,"EDHI EASY KADHU"
Nagendrababu,PKDKAR7549,"AINA MIMMALNI"
Nagendrababu,PKDKAR7548,"ADI KADANNA"
Nagendrababu,PKDKAR7546,"ERA VINIPINCHINDA"
Nagendrababu,PKDKAR7544,"AA YENTI"
Nagendrababu,PKDKAR7535,NINNU
Nagendrababu,PKDKAR7540,"A POTTODU"
Nagendrababu,PKDKAR7547,NEXT
Nagendrababu,PKDKAR7531,"NANNA A AMMAI"
Nagendrababu,PKDKAR7541,SAMSKARAM
Nagendrababu,PKDKAR00734,"ENTHA KAVALO CHEPPU"
Nagendrababu,PKDKAR00326,"ENTHA ANDHANGA UNNAV TELUSA"
Nagendrababu,PKDKAR00740,"EDHI EASY KADHU"
Nagendrababu,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Muthu,PKDKAR01064,"HEY DONT EAT"
Muthu,PKDKAR00495,"NUVEM MATADUTHUNNAV"
Muthu,PKDKAR00734,"ENTHA KAVALO CHEPPU"
Muthu,PKDKAR01120,"AREY CHINNADHANA NIKOSAM"
Muthu,PKDKAR7540,"A POTTODU"
Muthu,PKDKAR7531,"NANNA A AMMAI"
Muthu,PKDKAR01110,"WE LOVE BAD BOYS"
Muthu,PKDKAR7547,NEXT
Muthu,PKDKAR7546,"ERA VINIPINCHINDA"
Muthu,PKDKAR00655,"EVARIKI RAKUDADHU"
Muthu,PKDKAR00491,"ENTRA VADI QUALIFICAION RA"
Muthu,PKDKAR00740,"EDHI EASY KADHU"
Muthu,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Kiran,PKDKAR00659,"TENSION PADDANU"
sudhakar,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
sudhakar,PKDKAR00655,"EVARIKI RAKUDADHU"
Gopi,PKDKAR00775,"PANI CHEYAM"
Gopi,PKDKAR00740,"EDHI EASY KADHU"
Gopi,PKDKAR01110,"WE LOVE BAD BOYS"
Gopi,PKDKAR7543,"REY RAVI"
Gopi,PKDKAR7546,"ERA VINIPINCHINDA"
Gopi,PKDKAR7541,SAMSKARAM
Gopi,PKDKAR7547,NEXT
Gopi,PKDKAR00678,"VELLADAM MELU"
Lucky,PKDKAR00740,"EDHI EASY KADHU"
Lucky,PKDKAR00734,"ENTHA KAVALO CHEPPU"
Sudhakar,PKDKAR00733,"ENTI JOKE HA"
karthik,PKDKAR00655,"EVARIKI RAKUDADHU"
vishnu,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Ravi,PKDKAR7541,SAMSKARAM
Ravi,PKDKAR7543,"REY RAVI"
Ravi,PKDKAR00656,CHUPISTHARA
Ravi,PKDKAR00400,"PREM AKE PUTTINA PRANAM"
Ravi,PKDKAR00655,"EVARIKI RAKUDADHU"
Akularamprasadya,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Akularamprasadya,PKDKAR00677,"RENDU KALLU CHALAV"
Akularamprasadya,PKDKAR00733,"ENTI JOKE HA"
Akularamprasadya,PKDKAR00745,"BALE INTILEGENT"
Akularamprasadya,PKDKAR00658,"GOPPA MANASU RA NADHI"
Ramya,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Ashok,PKDKAR00325,"AKALEYA DHENTIRA"
Ashok,PKDKAR00323,"MANAM  VELTHAM AKKAADIKI BAVA"
Ashok,PKDKAR00303,"NAKU TELUSU"
Ashok,PKDKAR01027,"EM MATLADAV"
Sandeep,PKDKAR00638,THANNOKOSTHUNDHI
Sandeep,PKDKAR00495,"NUVEM MATADUTHUNNAV"
Sandeep,PKDKAR00736,"KASTA PADATANIKI EMUNDHI"
Ashok,PKDVAM36016,"DHINA TEA CIGARETTE"
Ashok,PKDKAR00948,KUDHURTHUNDHI
Ashok,PKDKAR00914,"MEEKU EMAINA LOOSE HA"
Sandeep,PKDKAR00659,"TENSION PADDANU"
Sandeep,PKDKAR01110,"WE LOVE BAD BOYS"
Ashok,PKDKAR00817,"NAKU FUTURE LEDHU"
Sandeep,PKDKAR7543,"REY RAVI"
Ashok,PKDKAR00805,"NI FACE  NI VOICE"
Ashok,PKDKAR00574,THAPPUKADHARA
